iter	MultiClass
0	1.053658065
1	1.017689468
2	0.9797162034
3	0.9486986483
4	0.9180871664
5	0.8886093581
6	0.8644257564
7	0.8419127953
8	0.8190210116
9	0.7962727716
10	0.775834035
11	0.7587170691
12	0.7417766783
13	0.7267643242
14	0.7131107022
15	0.7008035502
16	0.6874499506
17	0.6752926496
18	0.6641735536
19	0.6528662943
20	0.6427362928
21	0.6337205711
22	0.6253735186
23	0.6167894606
24	0.6092760012
25	0.6018717571
26	0.5960372562
27	0.5902664984
28	0.5852889906
29	0.5795277628
30	0.5743093314
31	0.5703601949
32	0.5655204115
33	0.5609830365
34	0.555917901
35	0.5511755474
36	0.5471957105
37	0.5430193385
38	0.5402613655
39	0.5371255876
40	0.5337901925
41	0.5303784989
42	0.5279769469
43	0.5251853687
44	0.5226191155
45	0.5194779613
46	0.5169361494
47	0.5154734395
48	0.5136165514
49	0.5116255962
50	0.5099096395
51	0.5081036552
52	0.5061700305
53	0.5040643264
54	0.502167888
55	0.5006851715
56	0.4991759203
57	0.4978090657
58	0.4966751615
59	0.494829861
60	0.493288724
61	0.4919000126
62	0.4901600117
63	0.488933381
64	0.4878399206
65	0.4866180007
66	0.4854795822
67	0.4847452312
68	0.4837699349
69	0.4828193178
70	0.4820545429
71	0.4806732611
72	0.479707388
73	0.4786853322
74	0.476997914
75	0.475805307
76	0.4748165696
77	0.4742392523
78	0.4735436387
79	0.472319778
80	0.4719137423
81	0.4709793989
82	0.4701238183
83	0.4694375978
84	0.4688915948
85	0.4681660037
86	0.4666638371
87	0.4658074292
88	0.4649780064
89	0.4639333569
90	0.4632635072
91	0.4624141613
92	0.4615116676
93	0.4609214167
94	0.4601841559
95	0.4595981408
96	0.4588843503
97	0.4584240156
98	0.4574979421
99	0.4561944823
100	0.4557143056
101	0.4550737698
102	0.4541380482
103	0.4537302094
104	0.4533721468
105	0.4530148573
106	0.4524184618
107	0.4514655419
108	0.4507636933
109	0.4503577716
110	0.4496274929
111	0.4492542639
112	0.4483905621
113	0.4474846619
114	0.4468293611
115	0.4461158503
116	0.4453025237
117	0.444845486
118	0.4443736418
119	0.4437805065
120	0.4432405447
121	0.442993788
122	0.4424509906
123	0.4416882007
124	0.4411790817
125	0.4405299815
126	0.439665386
127	0.4391293612
128	0.4389036021
129	0.4383456102
130	0.4372171119
131	0.4367332024
132	0.4362371822
133	0.4360481895
134	0.4355737458
135	0.4352559037
136	0.4344933278
137	0.4342189247
138	0.4337622511
139	0.4333032519
140	0.432427738
141	0.4317153893
142	0.4310587227
143	0.4306411663
144	0.4299410853
145	0.4294238318
146	0.42845817
147	0.4277899851
148	0.4272404032
149	0.4269320903
150	0.426534998
151	0.4258899292
152	0.4256024466
153	0.4249698429
154	0.424380379
155	0.4237450107
156	0.4233205434
157	0.422772323
158	0.4223835718
159	0.4216132923
160	0.4212000751
161	0.4204580851
162	0.4197046908
163	0.4192015999
164	0.4186094349
165	0.4179824262
166	0.4174083449
167	0.416821002
168	0.4163387771
169	0.4161068058
170	0.4155951796
171	0.4151955503
172	0.4147111704
173	0.4138435773
174	0.4133363542
175	0.4125710521
176	0.4120905695
177	0.4115221536
178	0.4109927627
179	0.4103411722
180	0.4101100575
181	0.4097818454
182	0.4092242256
183	0.408689799
184	0.4082236195
185	0.4075373698
186	0.4072886171
187	0.4067934981
188	0.4063318526
189	0.4057663743
190	0.4052880109
191	0.4048128413
192	0.4045784355
193	0.4041259837
194	0.4036685228
195	0.4031158135
196	0.4026843704
197	0.4023297468
198	0.4021490134
199	0.4015595264
200	0.4007836034
201	0.400421192
202	0.4000445912
203	0.3997638491
204	0.3991729588
205	0.3988252282
206	0.3980572944
207	0.3976478225
208	0.3972700602
209	0.3971451299
210	0.3964226271
211	0.3960566906
212	0.3958357522
213	0.3953362102
214	0.3949995806
215	0.3945561659
216	0.3941228194
217	0.39356379
218	0.3931378651
219	0.3927267494
220	0.3922668324
221	0.3918950862
222	0.3914452532
223	0.3911972888
224	0.3906840089
225	0.390466005
226	0.39017604
227	0.3897800362
228	0.3894212721
229	0.3891795563
230	0.3886942279
231	0.388230987
232	0.388041774
233	0.3874235107
234	0.3871938633
235	0.3863121422
236	0.3857179014
237	0.3851633339
238	0.3849387935
239	0.3846209136
240	0.3842948434
241	0.3839168666
242	0.3837006336
243	0.3834552066
244	0.3828027647
245	0.3823542196
246	0.3819168541
247	0.381587533
248	0.3813365024
249	0.3810851061
250	0.3806826278
251	0.3803962567
252	0.3801889386
253	0.3799649493
254	0.3798524163
255	0.3792050959
256	0.3788001752
257	0.3783314741
258	0.3778159115
259	0.3773997599
260	0.3770399181
261	0.3768396755
262	0.3764995501
263	0.3760683413
264	0.3757808228
265	0.3755844372
266	0.3750063397
267	0.3744872202
268	0.3743325911
269	0.3738573707
270	0.3730397913
271	0.3728211858
272	0.3725141195
273	0.3721964473
274	0.3718794103
275	0.3713995347
276	0.3711519449
277	0.3708941435
278	0.3705904333
279	0.3702333755
280	0.3698574192
281	0.3695249714
282	0.369060533
283	0.3687535774
284	0.368323628
285	0.3681904253
286	0.3678540184
287	0.3676112884
288	0.3672503265
289	0.3668863089
290	0.3664395098
291	0.3663046001
292	0.3658470351
293	0.3653714767
294	0.3652036871
295	0.3649258118
296	0.3647105555
297	0.3644418368
298	0.3640268551
