iter	Passed	Remaining
411	3952	5640
412	3961	5630
413	3970	5619
414	3979	5609
415	3989	5600
416	3999	5592
417	4010	5583
418	4021	5576
419	4031	5567
420	4045	5563
421	4057	5557
422	4069	5551
423	4080	5543
424	4091	5535
425	4099	5524
426	4107	5512
427	4116	5502
428	4125	5491
429	4134	5481
430	4143	5470
431	4153	5461
432	4163	5452
433	4176	5447
434	4188	5440
435	4197	5429
436	4206	5419
437	4216	5409
438	4225	5399
439	4233	5388
440	4242	5377
441	4251	5367
442	4260	5357
443	4269	5346
444	4279	5336
445	4288	5327
446	4297	5316
447	4305	5305
448	4313	5293
449	4321	5282
450	4331	5272
451	4341	5263
452	4350	5253
453	4359	5242
454	4368	5233
455	4376	5221
456	4384	5209
457	4392	5198
458	4400	5186
459	4409	5176
460	4419	5167
461	4429	5158
462	4440	5150
463	4450	5140
464	4458	5129
465	4467	5119
466	4477	5110
467	4486	5100
468	4497	5091
469	4506	5082
470	4516	5072
471	4527	5064
472	4536	5054
473	4546	5044
474	4556	5036
475	4567	5028
476	4578	5020
477	4591	5014
478	4607	5011
479	4618	5003
480	4628	4994
481	4636	4983
482	4646	4973
483	4654	4962
484	4663	4951
485	4673	4943
486	4682	4932
487	4692	4923
488	4702	4914
489	4711	4903
490	4720	4893
491	4729	4882
492	4737	4871
493	4746	4861
494	4754	4850
495	4763	4840
496	4771	4829
497	4780	4818
498	4788	4807
499	4796	4796
500	4805	4786
501	4813	4774
502	4821	4763
503	4829	4752
504	4837	4742
505	4848	4733
506	4859	4725
507	4868	4715
508	4877	4704
509	4885	4693
510	4893	4682
511	4901	4672
512	4917	4667
513	4927	4659
514	4939	4651
515	4958	4651
516	4971	4644
517	4980	4634
518	4989	4623
519	4997	4613
520	5005	4602
521	5013	4591
522	5022	4580
523	5030	4569
524	5039	4559
525	5049	4549
526	5058	4539
527	5066	4529
528	5076	4519
529	5085	4509
530	5095	4500
531	5106	4492
532	5118	4485
533	5130	4476
534	5139	4466
535	5150	4458
536	5159	4448
537	5169	4438
538	5178	4428
539	5186	4418
540	5198	4410
541	5210	4402
542	5219	4392
543	5228	4382
544	5235	4371
545	5243	4360
546	5252	4349
547	5261	4339
548	5269	4329
549	5278	4319
550	5287	4309
551	5296	4298
552	5305	4288
553	5315	4279
554	5325	4270
555	5335	4260
556	5344	4250
557	5353	4240
558	5363	4231
559	5372	4220
560	5383	4213
561	5393	4203
562	5402	4193
563	5411	4183
564	5419	4172
565	5428	4162
566	5436	4151
567	5445	4141
568	5458	4134
569	5469	4126
570	5478	4116
571	5488	4106
572	5495	4095
573	5504	4085
574	5513	4075
575	5522	4065
576	5530	4054
577	5539	4044
578	5549	4035
579	5559	4025
580	5569	4016
581	5580	4007
582	5591	3999
583	5602	3990
584	5612	3981
585	5627	3975
586	5638	3966
587	5647	3957
588	5657	3947
589	5666	3937
590	5675	3927
591	5684	3917
592	5693	3907
593	5703	3898
594	5718	3892
595	5735	3888
596	5745	3878
597	5754	3868
598	5762	3857
599	5771	3847
600	5781	3838
601	5790	3828
602	5803	3820
603	5815	3812
604	5826	3804
605	5837	3795
606	5847	3785
607	5860	3778
608	5873	3771
609	5887	3763
610	5898	3755
611	5908	3745
612	5917	3735
613	5925	3725
614	5934	3714
615	5942	3704
616	5950	3693
617	5958	3683
618	5968	3673
619	5979	3664
620	5989	3655
621	5999	3646
622	6008	3636
623	6017	3625
624	6025	3615
625	6034	3605
626	6042	3594
627	6051	3584
628	6059	3574
629	6069	3564
630	6077	3554
631	6088	3544
632	6097	3535
633	6106	3525
634	6114	3514
635	6123	3504
636	6132	3494
637	6145	3487
638	6157	3478
639	6166	3468
640	6174	3458
641	6183	3448
642	6193	3438
643	6203	3429
644	6212	3419
645	6222	3409
646	6234	3401
647	6245	3392
648	6254	3382
649	6262	3372
650	6270	3361
651	6278	3351
652	6286	3340
653	6295	3330
654	6303	3320
655	6310	3309
656	6318	3298
657	6326	3288
658	6336	3278
659	6347	3270
660	6358	3260
661	6367	3251
662	6377	3241
663	6386	3231
664	6403	3225
665	6416	3218
666	6427	3208
667	6435	3198
668	6444	3188
669	6452	3178
670	6460	3167
671	6467	3156
672	6476	3146
673	6488	3138
674	6499	3129
675	6510	3120
676	6520	3110
677	6529	3101
678	6537	3090
679	6546	3080
680	6554	3070
681	6563	3060
682	6572	3050
683	6580	3040
684	6595	3032
685	6606	3023
686	6617	3014
687	6628	3005
688	6639	2996
689	6654	2989
690	6664	2980
691	6674	2970
692	6683	2960
693	6692	2950
694	6699	2940
695	6708	2930
696	6716	2919
697	6725	2909
698	6733	2899
699	6742	2889
700	6753	2880
701	6763	2871
702	6773	2861
703	6783	2852
704	6791	2841
705	6799	2831
706	6809	2822
707	6818	2812
708	6828	2802
709	6837	2792
710	6846	2782
711	6856	2773
712	6864	2763
713	6874	2753
714	6883	2743
715	6895	2735
716	6908	2726
717	6920	2717
718	6930	2708
719	6939	2698
720	6948	2688
721	6956	2678
722	6965	2668
723	6973	2658
724	6982	2648
725	6991	2638
726	6999	2628
727	7012	2620
728	7021	2610
729	7032	2600
730	7040	2590
731	7049	2580
732	7057	2570
733	7065	2560
734	7074	2550
735	7083	2540
736	7090	2530
737	7098	2520
738	7106	2509
739	7126	2503
740	7138	2495
741	7149	2485
742	7169	2479
743	7184	2471
744	7195	2462
745	7202	2452
746	7213	2443
747	7222	2433
748	7230	2423
749	7238	2412
750	7248	2403
751	7260	2394
752	7276	2386
753	7285	2376
754	7294	2367
755	7302	2356
756	7333	2354
757	7344	2344
758	7352	2334
759	7360	2324
760	7368	2314
761	7376	2303
762	7384	2293
763	7392	2283
764	7401	2273
765	7411	2264
766	7420	2254
767	7429	2244
768	7438	2234
769	7447	2224
770	7456	2214
771	7466	2205
772	7475	2195
773	7483	2185
774	7491	2175
775	7500	2165
776	7507	2154
777	7517	2145
778	7528	2135
779	7539	2126
780	7547	2116
781	7555	2106
782	7563	2096
783	7572	2086
784	7581	2076
785	7591	2066
786	7600	2057
787	7610	2047
788	7618	2037
789	7627	2027
790	7637	2018
791	7649	2008
792	7659	1999
793	7669	1989
794	7679	1980
795	7689	1970
796	7698	1960
797	7708	1951
798	7718	1941
799	7727	1931
800	7739	1922
801	7753	1914
802	7766	1905
803	7780	1896
804	7792	1887
805	7805	1878
806	7815	1869
807	7824	1859
808	7848	1852
809	7860	1843
810	7872	1834
811	7884	1825
812	7897	1816
813	7909	1807
814	7922	1798
815	7936	1789
816	7949	1780
817	7963	1771
818	7973	1762
819	7982	1752
820	7991	1742
821	8000	1732
822	8008	1722
823	8017	1712
824	8026	1702
825	8036	1692
826	8047	1683
827	8059	1674
828	8068	1664
829	8078	1654
830	8088	1644
831	8096	1634
832	8105	1625
833	8115	1615
834	8123	1605
835	8133	1595
836	8143	1585
837	8152	1576
838	8161	1566
839	8170	1556
840	8181	1546
841	8189	1536
842	8200	1527
843	8213	1518
844	8222	1508
845	8232	1498
846	8242	1488
847	8250	1478
848	8259	1469
849	8268	1459
850	8277	1449
851	8286	1439
852	8299	1430
853	8308	1420
854	8316	1410
855	8323	1400
856	8331	1390
857	8338	1380
858	8347	1370
859	8354	1360
860	8362	1350
861	8370	1340
862	8379	1330
863	8387	1320
864	8395	1310
865	8403	1300
866	8411	1290
867	8419	1280
868	8428	1270
869	8436	1260
870	8448	1251
871	8460	1241
872	8469	1232
873	8476	1222
874	8484	1212
875	8491	1202
876	8499	1192
877	8506	1182
878	8515	1172
879	8524	1162
880	8532	1152
881	8542	1142
882	8550	1132
883	8559	1123
884	8567	1113
885	8576	1103
886	8585	1093
887	8595	1084
888	8604	1074
889	8613	1064
890	8622	1054
891	8631	1045
892	8640	1035
893	8649	1025
894	8659	1015
895	8669	1006
896	8680	996
897	8690	987
898	8701	977
899	8714	968
900	8725	958
